"title" "teaser" "links" "date"
"15" "Halbzeit bei t<U+00C3><U+00BC>rkis-gr<U+00C3><U+00BC>nen Sondierungen und Hochzeit in einer kriselnden Branche: Das Wichtigste im <U+00C3><U+009C>berblick" "Wir liefern Ihnen Nachrichten, die besten St<U+00C3><U+00BC>cke aus unserem Magazin und aktuellen Diskussionsstoff." "https://www.diepresse.com/5714857/Tagesbriefing_Halbzeit-bei-tuerkisgruenen-Sondierungen-und?from=rss" 2019-10-31
"16" "Die Betriebe brauchen Luft zum Atmen" "WK-Tirol-Pr<U+00C3><U+00A4>sident fordert die Fortsetzung des Reformkurses der vergangenen Regierung. Steuerlast runter, weniger B<U+00C3><U+00BC>rokratie und Anreizsysteme f<U+00C3><U+00BC>r Klima- und Umweltschutz stehen auf der Priorit<U+00C3><U+00A4>tenliste." "https://www.diepresse.com/5720877/Interview_Die-Betriebe-brauchen-Luft-zum-Atmen?from=rss" 2019-11-12
"17" "Rauchverbot: Einbu<U+00C3><U+009F>en bis zu 15 Prozent" "Jene Lokale, in denen zuvor geraucht wurde, haben seit dem Rauchverbot zehn bis 15 Prozent weniger Umsatz, bei den Shisha-Bars sind es gar 95 Prozent. Aber nicht alle Ex-Raucherlokale sind davon betroffen." "https://www.diepresse.com/5721163/Gastronomie_Rauchverbot_Einbussen-bis-zu-15-Prozent?from=rss" 2019-11-12
"18" "Diese f<U+00C3><U+00BC>nf Wirtschaftsgeschichten sollten Sie gelesen haben" "Der Bund macht <U+00C3><U+009C>bersch<U+00C3><U+00BC>sse, bei der Voest kriselt es. Verkehrte Wirtschaftswelt also. In den Wirtsh<U+00C3><U+00A4>usern darf nicht geraucht werden. Da ist viel passiert in den vergangenen Woche. Auch in der Notenbank gehts rund. Alles hier im Wochenr<U+00C3><U+00BC>ckblick des Economist." "https://www.diepresse.com/5718980/Diese-fuenf-Wirtschaftsgeschichten-sollten-Sie-gelesen-haben?from=rss" 2019-11-08
"19" "Stilvoll dilettantisch: Adam Green brummelt sich ins Paradies" "Adam Green, der gro<U+00C3><U+009F>e Naive der US-Popmusik, stand einmal auf gro<U+00C3><U+009F>en B<U+00C3><U+00BC>hnen. Jetzt bespielt er kleine Hallen, in denen er verl<U+00C3><U+00A4>sslich aufbl<U+00C3><U+00BC>ht: Im Wiener Flex kitzelte er erfolgreich das Kind in seinen H<U+00C3><U+00B6>rern heraus. Er ist der legitime Nachfolger von Jonathan Richman." "https://www.diepresse.com/5717943/Konzert_Stilvoll-dilettantisch_Adam-Green-brummelt-sich-ins-Paradies?from=rss" 2019-11-06
"20" "Rauchverbot belastet Casinos" "Konzernchefin Glatz-Kremsner bef<U+00C3><U+00BC>rchtet Umsatzeinbu<U+00C3><U+009F>en von bis zu 30 Prozent. Die umstrittene Bestellung des FP<U+00C3><U+0096>lers Peter Sidlo zum Vorstand soll bald evaluiert sein." "https://www.diepresse.com/5717878/Gluecksspiel_Rauchverbot-belastet-Casinos?from=rss" 2019-11-06
"21" "Voodoo J<U+00C3><U+00BC>rgens: Singsang aus der Unterwelt" "Voodoo J<U+00C3><U+00BC>rgens ver<U+00C3><U+00B6>ffentlicht sein zweites Album. 'S klane Gl<U+00C3><U+00BC>cksspiel lockt abermals in die wilden Kaschemmen der Vorstadt." "https://www.diepresse.com/5717826/Gespraech_Voodoo-Juergens_Singsang-aus-der-Unterwelt?from=rss" 2019-11-06
"22" "Die Kampagne gegen Manspreading ist nicht sexistisch" "Wer die neue Kampagne der Wiener Linien <U+00C3><U+00BC>berfl<U+00C3><U+00BC>ssig findet, k<U+00C3><U+00B6>nnte einen Tag lang beobachten, wie sich Frauen und M<U+00C3><U+00A4>nner im <U+00C3><U+00B6>ffentlichen Raum verhalten." "https://www.diepresse.com/5717795/Quergeschrieben_Die-Kampagne-gegen-Manspreading-ist-nicht-sexistisch?from=rss" 2019-11-06
"23" "Lokale auf Raucherentw<U+00C3><U+00B6>hnung" "Die Durchsetzung des Rauchverbotes klappt relativ reibungslos. Einige Wirte versuchen noch, komfortables Rauchen zu erm<U+00C3><U+00B6>glichen. Die Shisha-Bars sind seit Tagen verwaist." "https://www.diepresse.com/5716706/Rauchverbot_Lokale-auf-Raucherentwoehnung?from=rss" 2019-11-04
"24" "Rauchverbot f<U+00C3><U+00BC>hrt zu erstem Polizeieinsatz in Wien" "Die Bilanz am ersten rauchfreien Wochenende in <U+00C3><U+0096>sterreich fiel insgesamt positiv aus. Ein Br<U+00C3><U+00BC>derpaar war allerdings wenig einsichtig - und musste festgenommen werden." "https://www.diepresse.com/5716115/Rauchverbot-fuehrt-zu-erstem-Polizeieinsatz-in-Wien?from=rss" 2019-11-03
"25" "Das Rauchverbot und die trotzigen kleinen Kinder" "<U+00C3><U+009C>ber die sch<U+00C3><U+00B6>nen <U+00C3><U+00B6>sterreichischen Begriffe Bestemm und Justamentstandpunkt." "https://www.diepresse.com/5716159/Mein-Montag_Das-Rauchverbot-und-die-trotzigen-kleinen-Kinder?from=rss" 2019-11-03
"26" "Nur in einem Lokal in Wien wurde noch geraucht" "Bei Kontrollen am Allerheiligentag wurde in nur einem von 247 kontrollierten Lokalen geraucht. Die Kontrollen haben nicht wie erwartet in der Halloween-Nacht stattgefunden." "https://www.diepresse.com/5715713/Rauchverbot_Nur-in-einem-Lokal-in-Wien-wurde-noch-geraucht?from=rss" 2019-11-02
